ingredient,recipe
almond,Fresh Broccoli Salad;Cream Cheese Pound Cake I;Strawberry Spinach Salad I;Vanilla-Almond Spiced French Toast;Jamie's Cranberry Spinach Salad;Basic Chicken Salad;Soft and Chewy Chocolate-Banana Oat Bars;Macaron (French Macaroon);Broccoli With Lemon Almond Butter;Browned Butter Vegetables with Almonds
apple,"Roasted Brussels Sprouts with Apples, Golden Raisins, and Walnuts;Baked Cider Doughnuts;Apple-Raisin French Toast Casserole;Curried Apple and Leek Soup;Apple Puff Pancake;Apple Pie by Grandma Ople;Homemade Apple Cider;Apple Crisp II;Apple Turnovers;Annie's Fruit Salsa and Cinnamon Chips;Chocolate Protein Muffins;Roasted Apples and Brussels Sprouts;Apple Cider Glazed Doughnuts;Ashley's Apple Cider Doughnuts;Pumpkin Waffles with Apple Cider Syrup;Apple Orchard Punch;Mulligatawny Soup I;Sweet Potato, Carrot, Apple, and Red Lentil Soup;Sarah's Applesauce;Butternut and Apple Harvest Soup;Mountain Apple Cobbler;Grandma Jeanette's Amazing German Red Cabbage;Whole Wheat Blueberry Muffins;Winter Fruit Salad with Lemon Poppyseed Dressing;Baked Apple Roses;Apple Stuffed Chicken Breast;Applesauce Pumpkin Spice Bread "
apricot,Apricot Glazed Carrots
artichoke,Chicken and Artichoke Minestrone;Herbed Grilled Artichokes;Greek Chicken Pasta;Mediterranean Zucchini 'Pasta' Salad
asparagus,"Creamy Asparagus and Cauliflower Soup;Cream of Fresh Asparagus Soup II;Asparagus and Mozzarella Stuffed Chicken Breasts;Baked Asparagus with Balsamic Butter Sauce;Superfast Asparagus;Asparagus, Potato, and Onion Frittata;Oven-Roasted Asparagus;Pan-Fried Asparagus"
avocado,Winter Green Salad;One Skillet Mexican Quinoa;Bacon and Egg Breakfast Salad with Avocado Dressing;Saltfish Buljol;Zucchini Gazpacho;Perfect Breakfast;Black Bean and Corn Salad II;Roquefort Pear Salad;Paleo Baked Eggs in Avocado
bacon,"Bacon Cheese Frittata;Fresh Broccoli Salad;Bacon Cheese Muffins;Bacon and Potato Frittata with Greens;Bacon, Egg, and Cheese Breakfast Bombs;Shrimp and Cheesy Grits with Bacon;Old Charleston Style Shrimp and Grits;Bacon for the Family or a Crowd;Super Easy Egg Casserole;Kentucky Style Fried Green Tomatoes;Spinach Stuffed Chicken Breasts;Kickin' Collard Greens;Red Skinned Potato Salad;All-American Loaded Baked Potato Salad;Breakfast Biscuits;Bodacious Broccoli Salad;Bacon, Egg, and Cheese Strata;Eggs Benedict;Authentic Huevos Rancheros;Quiche Lorraine I;Bacon Cheddar Chive Muffins;Bacon Ranch Pasta Salad;Clark's Quiche;Authentic German Potato Salad;Quick Quiche;Quick Brussels and Bacon;Bacon and Egg Breakfast Salad with Avocado Dressing;Quick and Easy Eggs Benedict;Fried Cabbage with Bacon, Onion, and Garlic;Vegetable Beef Minestrone;Bird's Nest Breakfast Cups;Chef John's Quiche Lorraine;Cauliflower Potato Soup;Kecia's Broccoli Salad;Mango-Bacon-Butternut Squash Hash;Aussie Breakfast Egg Mess;Minestrone Soup II;Baked Potato Soup I;Bacon, Potato, and Egg Taco Ole;Cheesy Amish Breakfast Casserole;Beef and Guinness Stew;Maple Bacon Monkey Bread;Cheesy Bacon-Sausage-Egg-Hash Brown Skillet;Absolutely Ultimate Potato Soup;Super-Delicious Zuppa Toscana;Cream of Cauliflower Soup With Bacon Gremolata;Prosciutto Fave Minestrone alla Riso ;Savory Bacon and Crab Bread Pudding Eggs Benedict;Easy Bacon and Cheese Quiche;Chef John's Shrimp and Grits ;Baked Potato Soup V;Split Pea Soup with Rosemary;Broccoli and Tortellini Salad;Alyson's Broccoli Salad;Paleo Baked Eggs in Avocado;Ultimate Twice Baked Potatoes;Charleston Breakfast Casserole"
baked potato,Chorizo Breakfast Tacos with Potato Hash and Eggs;Baked Potato Soup I
banana,"Banana Sour Cream Bread;Soft and Chewy Chocolate-Banana Oat Bars;Chef John's Banana Bread;Peanut Butter Banana Smoothie;Banana Banana Bread;Shrimp and Veggie Stew;Easy Buttermilk Baking Sheet Pancakes;Whole Wheat, Oatmeal, and Banana Pancakes;Strawberry Oatmeal Breakfast Smoothie;Banana Pancakes I;Banana Crumb Muffins;Banana Cinnamon Roll Casserole;Perfect Summer Fruit Salad;All-Around Good Smoothie"
barley,Turkey Carcass Soup;Beef Barley Vegetable Soup;Instant Pot Vegan Vegetable and Barley Soup;Beaker's Vegetable Barley Soup
