,Name of Dish,Instruction
0,Bacon Cheese Frittata,"Preheat oven to 350 degrees F (175 degrees C). Lightly grease a 7x11-inch baking dish.
                            Place bacon in a large skillet and cook over medium-high heat, turning occasionally, until evenly browned, about 10 minutes. Drain bacon slices on paper towels and crumble.
                            Beat eggs, milk, butter, salt, and ground pepper in a bowl; pour into prepared baking dish. Sprinkle with onions, bacon, and Cheddar cheese.
                            Bake in preheated oven until a knife inserted near the center comes out clean, 25 to 30 minutes.
                            "
1,Oriental Cold Noodle Salad,"In a large pot, cook soba noodles according to package directions. Drain, rinse noodles with cold water, and set aside.
                            Pour into a large bowl the sesame oil, rice vinegar, soy sauce, and lime juice. Mix in lime zest, brown sugar, garlic, and red pepper flakes; stir until sugar dissolves. Toss in carrots, peanuts, and cilantro.
                            Cut noodles into 3-inch lengths. Stir into dressing mixture. Cover, and refrigerate at least 1 hour.
                            Toss salad again before serving. If dry, splash with soy sauce and vinegar. Serve cold.
                            "
2,,
3,Russian Mushroom and Potato Soup,"Melt 3 tablespoons butter in a large saucepan over medium heat. Mix in leeks and carrots, and cook 5 minutes. Pour in broth. Season with dill, salt, pepper, and bay leaf. Mix in potatoes, cover, and cook 20 minutes, or until potatoes are tender but firm. Remove and discard the bay leaf.
                            Melt the remaining butter in a skillet over medium heat, and saute the mushrooms 5 minutes, until lightly browned. Stir into the soup.
                            In a small bowl, mix the half-and-half and flour until smooth. Stir into the soup to thicken. Garnish each bowl of soup with fresh dill to serve.
                            "
4,Green Tomato and Bell Pepper Delight,"Heat olive oil in a large skillet over medium heat.  Stir in green tomatoes, bell pepper, celery, green onions and apple cider vinegar.  Saute until tender crisp, about 5 to 10 minutes.
                            "
5,Zucchini Herb Casserole,"Combine the rice and water in a saucepan, and bring to a boil. Reduce heat to low, cover, and simmer 20 minutes, until rice is tender.
                            Preheat oven to 350 degrees F (175 degrees C). Lightly grease a shallow 1 1/2 quart casserole dish.
                            Heat the oil in a skillet over medium heat, and cook the zucchini, green onions, and garlic 5 minutes, or until tender. Season with garlic salt, basil, paprika, and oregano. Mix in the cooked rice, tomatoes, and 1 cup cheese. Continue to cook and stir until heated through. Transfer to the prepared casserole dish. Top with remaining cheese.
                            Bake uncovered 20 minutes, or until cheese is melted and bubbly.
                            "
6,Eggs Benedict with Salmon,"To make the sauce: In the top of a double boiler, whisk together yogurt, lemon juice, egg yolks, mustard, salt, sugar, pepper and hot sauce. Cook over simmering water while stirring constantly, for 6 to 8 minutes, or until sauce is thick enough to coat the back of the spoon.
                            In a large stock pot heat 2 quarts of salted water to a boil. Carefully break the eggs one at a time into the boiling water. When all the eggs have been added, reduce the heat to medium. When the eggs float to the top, remove them with a slotted spoon and let drain briefly.
                            To assemble final dish: Toast bread slices and place on warm plates. Top each piece of toast with a slice of smoked salmon and a hot poached egg. Drizzle with yogurt sauce; garnish with parsley and capers.
                            "
7,Make-Ahead Sour Cream Coffee Cake,"Grease and flour a 9x13-inch baking pan.
                            Beat butter and white sugar in a bowl with an electric mixer until light and fluffy, about 2 minutes.
                            Beat eggs and sour cream into butter mixture until smooth.
                            Whisk flour, baking powder, baking soda, nutmeg, and salt together in a bowl until thoroughly combined; stir into the sour cream mixture to make a batter.
                            Pour the batter into the prepared baking dish.
                            Mix the brown sugar, pecans, and cinnamon in a bowl; sprinkle the mixture over the batter.
                            Cover the baking dish with plastic wrap and chill 8 hours to overnight.
                            Preheat oven to 350 degrees F (175 degrees C).
                            Remove plastic wrap from the dish; bake until a toothpick inserted into the center of the coffee cake comes out clean, 35 to 40 minutes.
                            "
8,Easy Meatloaf,"Preheat oven to 350 degrees F (175 degrees C).
                            In a large bowl, combine the beef, egg, onion, milk and bread OR cracker crumbs. Season with salt and pepper to taste and place in a lightly greased 5x9 inch loaf pan, OR form into a loaf and place in a lightly greased 9x13 inch baking dish.
                            In a separate small bowl, combine the brown sugar, mustard and ketchup. Mix well and pour over the meatloaf.
                            Bake at 350 degrees F (175 degrees C) for 1 hour.
                            "
9,Winter Leek and Potato Soup,"Melt butter in a pot over medium heat. Cook and stir leeks and onion until vegetables are tender, about 5 minutes.
                            Stir potatoes and chicken broth into onion mixture; simmer until potatoes are tender, 20 to 25 minutes.
                            Pour half-and-half into potato soup and continue to simmer until slightly thickened, about 15 minutes more.
                            Stir Cheddar cheese, parsley, garlic powder, salt, and black pepper into soup until cheese is melted, about 5 minutes.
                            "
