,Name of Dish,Instruction
0,Tropical Granola,"
Preheat oven to 300 degrees. Line a large baking sheet with parchment paper or a silicone mat.

In a medium sized bowl, use a fork to whisk together vanilla, salt, coconut oil, maple syrup and honey.

Then, stir in oats, hemp seeds, flax seeds, cranberries, pineapples, and coconut. Stir until well combined.

Spread mixture in even layer on prepared baking sheet. Bake for 35 minutes, stirring every 10-12 minutes.

Let cool completely before serving. Store in airtight container.
"
1,Mini Fruit Pizza,"
Roll dough to about 1/3"" thickness and cut into ~2.5"" round circles with a biscuit cutter or cup.

Bake for 12-13 minutes.

Let cool before decorating.

In a large bowl or stand mixer, beat together cream cheese, whipped topping, water, powdered sugar and corn starch until smooth.

Spread cream cheese mixture evenly over top of each cookie (about 1.5-2 tbsp per cookie).

Drain pineapple, then spread pineapple evenly over cream cheese mixture.

Use desired fruit to lay on top of pineapple (for mine, I used canned mandarin, strawberries, banana, and blueberries).

In a small pot over medium heat, whisk together sugar, lemon juice, orange juice, water and corn starch.

Whisk constantly until mix begins to bubble and thicken. Remove from heat and let cool.

Once cooled, spread over fruit.
"
2,Korean Beef Bowl,"
Combine all marinade ingredients in a medium sized bowl. Place beef in bowl and let sit for at least 30 minutes.

Heat a large skillet over medium-high heat. Brown each individual piece of beef for about 30 seconds a side. Remove each piece of beef as it cooks and return cooked beef to the marinade bowl.

Once beef has finished, add chopped onion to skillet. Cook until softened about 5 minutes.

Add beef and marinade back to skillet. Turn to low and cover. Simmer for about 5 minutes.

Fill a medium sized bowl with water and ice. Set aside.

Bring about 3 cups of water to a boil in a medium sized pot. Add carrots and green beans. Boil for 3 minutes. Use a slotted spoon to transfer vegetables to the prepared ice water.

Let vegetables cool, then use slotted spoon to transfer to another bowl.

Combine vinegar, sesame oil, and brown sugar. Pour over vegetables and toss well.

Bring 3 cups of water and salt to a boil. Stir in rice and cover. Reduce heat to low and simmer for 15 minutes, or until water is absorbed.

Serve beef with sauce over rice. Top with scallions and Gochujang sauce.
"
3,Peach Cobbler,"
Preheat oven to 350 degrees.

Melt butter and spread into bottom of 9x13 inch dish or 9 inch oval casserole dish.

Mix together 1 cup of sugar, flour, milk, and almond extract. Set aside.

Drain peaches and then place in large saucepan over medium heat. Mix in remaining 1/4 cup of sugar and lemon juice. Stir until sugar has dissolved, about 3-4 minutes. Remove from heat.

Gently pour sugar/flour mixture over butter.

Gently spoon peach mixture over sugar/flour mixture. DO NOT mix.

Sprinkle with cinnamon.

Bake for 40-45 minutes or until edges begin to brown and center is golden.
"
4,Churro Cake,"
First, brown the butter. To do this, melt butter in medium sized sauce pan over medium heat. Stir constantly until butter turns amber in color and has a nutty smell, about 10 minutes. Transfer butter to bowl and allow to re-harden for at least an hour. You can also put in the fridge and use again the next day.

When ready to make the cake, preheat oven to 350 degrees and line 3, 8"" baking pans with parchment paper. Grease and flour sides.

Beat together butter, brown sugar and light brown sugar on medium high speed until lightened and fluffy, about 3 minutes.

With mixer on low, slowly beat in eggs, egg yolks, grapeseed oil, and vanilla.

In medium sized bowl, whisk together flour, corn starch, baking powder, kosher salt, and cinnamon.

Slowly beat about 1/2 cup flour mixture into sugar/butter mixture. Then, beat in about 1/3 of the buttermilk. Alternate beating in rest of flour and buttermilk, ending with the flour.

Spread batter evenly between the three prepared pans.

Bake for 23-25 minutes, or until tops are golden and toothpick in center of cake comes out with just a few crumbs.

Let cool completely before assembling cake.

Preheat oven to 300 degrees. Line a large baking sheet with parchment paper or a silicone mat.

In a small bowl, mix together pecans, maple syrup, salt and cayenne paper.

Lay pecans out on prepared baking sheet. Bake for about 8 minutes, stir on pan, and then bake for another 8 minutes.

Let pecans cool for at least 5 minutes. Then, place pecans in a food processor and grind until they turn into a butter consistency, about 3-4 minutes. Set aside.

In a small pot over medium-low heat, add white chocolate, corn syrup, miso, salt, and brown sugar. Stir constantly until chocolate melts.

Once chocolate melts, turn heat to medium and consider stirring constantly until the mixture turns to a light brown color (just a little bit darker than the miso).

Remove from heat and slowly whisk in the heavy cream. Once cream and chocolate are well mixed, fold in the pecan butter.

Place in fridge for at least 6 hours before using. NOTE: I only use half of this for each cake, so I freeze the other half to use again. It freezes well in an airtight container and I have used it up to 6 months later.

In a small bowl, melt dark chocolate. To do this I place in microwave on 50% power in 30 second intervals, stirring after each interval. Once melted and smooth, repeat with white chocolate. Set aside to cool while you perform the rest of the steps. About 5 minutes is sufficient for them to cool down.

Beat together butter and shortening until light and fluffy, about 5 minutes.

Then, on medium speed, beat in powdered sugar about 1/2 cup at a time. Scrape down sides with spatula as needed.

Next, beat in vanilla, cinnamon and salt.

After this, slowly mix in melted chocolates. Once incorporated beat on high speed for about 30 seconds to mix thoroughly.

Mix in 3-4 tablespoons of heavy cream to reach desired consistency.

Assembly:

If needed, level cakes. As there is not much leavening and the cake does not rise much, I find I generally do not have to do this.

Place one layer of a cake on a cake board. Put frosting in a pasty bag and pipe boarder along outside of one layer. Fill inside boarder with desired amount of pralina filling (I use about 1/4 of the mixture for each layer). Place a second layer on top, and repeat. Finally, place third layer on top.


Use frosting lightly frost outside of cake. Place cake in fridge for about 15 minutes, then finish frosting/decorating as desired.

Use a cinnamon/sugar mixture to sprinkle top of cake.
"
5,Triple Chocolate Cookies,"
Microwave 4 ounces of the Baker's semi-sweet chocolate in 30 second intervals, stirring after each interval, until smooth. Set aside.

Using a mixer, beat together butter, sugar, and brown sugar until light. About 3 minutes.

Beat in eggs and vanilla extract until just combined, scraping down sides with spatula as needed.

Mix in melted chocolate until combined.

In a medium sized bowl, whisk together flour, corn start, baking soda, salt and cocoa powder.

Beat flour mixture into butter/sugar mixture 1/2 cup at a time, scraping down sides of bowl as needed.

Chop 2 ounces of the Baker's semi-sweet chocolate. Stir chopped chocolate along with 1 cup of chocolate chips into dough.

Place in refrigerator for at least 2 hours.

Once ready to bake, preheat oven to 375 degrees. Line baking sheets (I prefer air bake sheets for cookies) with parchment paper or silicone mats.

Scoop dough about 1 tbsp at a time onto prepared baking sheet. Place cookies about 2 inches apart.

Gently press down dough just a pit and place 2-3 dark chocolate chips into top of dough (this makes for pretty cookies).

Bake for 12-15 minutes. Let cool on baking sheet for 1-2 minutes and then move to cooling rack to finish cooling. 
"
6,Easy Homemade Ice Cream,"
Whisk together milk, honey, and vanilla.

Stir in strawberries and vanilla extract.

Place mixture in ice cream maker and use per manufacturer instructions (in my machine took 1 hour to be a soft serve consistency).
"
7,Restaurant Style Blender Salsa,"
Place all ingredients in a blender or food processor. Blend until well combined, about 1 minute.

Refrigerate for at least 1 hour before serving.
"
8,Cheesy Chicken Lasagna,"
Mix together salt, pepper, Italian seasoning, celery seed, and chicken broth. Pour over chicken.

Cook in Instant Pot on high for 13 minutes and let natural release for 10 minutes. Or, cook in slow cooker low for 6-8 hours, or high 4-5 hours. Or, line baking pan with aluminum foil, place chicken and mixture in foil and fold the foil up as tight as you can around the chicken;  then, bake at 350 degrees for about 40 minutes, or until chicken is cooked through.

Once chicken is cooked, remove from broth with slotted spoon. Shred chicken with two forks. Reserve broth for sauce. Set chicken aside.

Cook garlic and butter in large skillet over medium-high heat for 2 minutes. Turn to medium-low and add soups, oregano, pepper, dehydrated onion, and onion powder. Take 1 cup of broth from cooked chicken and also mix this into pan. Let simmer for about 3 minutes. Note: If you don't have enough broth, or you threw it out by accident, you can use pre-made chicken broth instead. I highly recommend the broth from the cooked chicken though as it has some tasty spices.

Preheat oven to 350 degrees. 

Cook lasagna noodles according to package directions. Or, do like I do, and get the oven ready lasagna noodles which make this recipe a breeze.

Cover bottom of a 9x13 casserole dish with about 1/2 cup sauce. Cover sauce with lasagna noodles (this will take about 4 noodles and you'll likely have to break one to make it fit). Cover noodles with 1/3 of the chicken, 1/3 of the sauce, and 1/3 of the mozzarella & cheddar cheeses. Repeat, but end with the last 1/2 of the sauce. Reserve the remaining mozzarella & cheddar.

Cover with aluminum foil and bake for 30 minutes. Then, remove foil, top with remaining mozzarella, cheddar, and parmesan cheeses. Bake for another 6-8 minutes, or until cheeses are bubbly.
"
9,Zucchini Crust Pepperoni Pizza,"
In a microwave safe bowl, heat grated zucchini for 5 minutes. Transfer to a colander and let drain. Once zucchini is cool enough to touch, use paper towels to squeeze out moisture.

Preheat oven to 450 degrees.

In a medium sized bowl, mix together zucchini, 1 1/4 cups flour, egg, Italian seasoning, kosher salt, pepper, and 2 tbsp olive oil.

Dough will be very sticky. Make it into a flat circle, about 5"" in diameter, as best as you can. Cover outside of dough with remaining 1/4 cup flour.

Spread dough evenly out on a pizza stone or parchment paper lined baking sheet. Brush remaining tbsp of olive oil over top of crust.

Bake for 15 minutes, or until top is golden brown.

Cover crust with pizza sauce, pepperoni, cheeses, parsley, and other desired toppings. Return to oven and bake for 7-8 minutes, or until cheese is bubbly.
"
